timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1647958814519,149,HTTP Request,503,Service Unavailable,Users 1-1,text,false,,7177,115,15,15,https://www.amazon.ca/,149,0,107
1647958814560,116,HTTP Request,503,Service Unavailable,Users 1-5,text,false,,7177,115,15,15,https://www.amazon.ca/,116,0,69
1647958814550,127,HTTP Request,503,Service Unavailable,Users 1-4,text,false,,7177,115,14,14,https://www.amazon.ca/,127,0,78
1647958814577,102,HTTP Request,503,Service Unavailable,Users 1-7,text,false,,7177,115,13,13,https://www.amazon.ca/,102,0,59
1647958814529,150,HTTP Request,503,Service Unavailable,Users 1-2,text,false,,7177,115,13,13,https://www.amazon.ca/,150,0,104
1647958814537,154,HTTP Request,503,Service Unavailable,Users 1-3,text,false,,7177,115,13,13,https://www.amazon.ca/,154,0,99
1647958814588,106,HTTP Request,503,Service Unavailable,Users 1-8,text,false,,7177,115,12,12,https://www.amazon.ca/,106,0,51
1647958814567,128,HTTP Request,503,Service Unavailable,Users 1-6,text,false,,7177,115,12,12,https://www.amazon.ca/,128,0,73
1647958814600,110,HTTP Request,503,Service Unavailable,Users 1-9,text,false,,7177,115,12,12,https://www.amazon.ca/,110,0,59
1647958814618,93,HTTP Request,503,Service Unavailable,Users 1-11,text,false,,7177,115,11,11,https://www.amazon.ca/,93,0,53
1647958814611,100,HTTP Request,503,Service Unavailable,Users 1-10,text,false,,7177,115,10,10,https://www.amazon.ca/,100,0,49
1647958814630,100,HTTP Request,503,Service Unavailable,Users 1-12,text,false,,7177,115,11,11,https://www.amazon.ca/,100,0,56
1647958814658,93,HTTP Request,503,Service Unavailable,Users 1-15,text,false,,7177,115,12,12,https://www.amazon.ca/,92,0,47
1647958814649,104,HTTP Request,503,Service Unavailable,Users 1-14,text,false,,7177,115,11,11,https://www.amazon.ca/,104,0,55
1647958814681,93,HTTP Request,503,Service Unavailable,Users 1-17,text,false,,7177,115,12,12,https://www.amazon.ca/,93,0,53
1647958814670,107,HTTP Request,503,Service Unavailable,Users 1-16,text,false,,7177,115,11,11,https://www.amazon.ca/,106,0,56
1647958814687,98,HTTP Request,503,Service Unavailable,Users 1-18,text,false,,7177,115,11,11,https://www.amazon.ca/,98,0,57
1647958814697,113,HTTP Request,503,Service Unavailable,Users 1-19,text,false,,7177,115,12,12,https://www.amazon.ca/,113,0,62
1647958814716,98,HTTP Request,503,Service Unavailable,Users 1-21,text,false,,7177,115,12,12,https://www.amazon.ca/,98,0,53
1647958814727,95,HTTP Request,503,Service Unavailable,Users 1-22,text,false,,7177,115,12,12,https://www.amazon.ca/,95,0,53
1647958814746,95,HTTP Request,503,Service Unavailable,Users 1-23,text,false,,7177,115,12,12,https://www.amazon.ca/,95,0,50
1647958814766,94,HTTP Request,503,Service Unavailable,Users 1-26,text,false,,7177,115,14,14,https://www.amazon.ca/,94,0,43
1647958814748,119,HTTP Request,503,Service Unavailable,Users 1-24,text,false,,7177,115,13,13,https://www.amazon.ca/,119,0,72
1647958814759,109,HTTP Request,503,Service Unavailable,Users 1-25,text,false,,7177,115,13,13,https://www.amazon.ca/,109,0,54
1647958814782,93,HTTP Request,503,Service Unavailable,Users 1-27,text,false,,7177,115,12,12,https://www.amazon.ca/,93,0,50
1647958814790,94,HTTP Request,503,Service Unavailable,Users 1-28,text,false,,7177,115,12,12,https://www.amazon.ca/,94,0,53
1647958814802,98,HTTP Request,503,Service Unavailable,Users 1-29,text,false,,7177,115,13,13,https://www.amazon.ca/,98,0,54
1647958814812,91,HTTP Request,503,Service Unavailable,Users 1-30,text,false,,7177,115,12,12,https://www.amazon.ca/,91,0,47
1647958814827,91,HTTP Request,503,Service Unavailable,Users 1-32,text,false,,7177,115,12,12,https://www.amazon.ca/,91,0,51
1647958814818,102,HTTP Request,503,Service Unavailable,Users 1-31,text,false,,7177,115,11,11,https://www.amazon.ca/,102,0,58
1647958814847,103,HTTP Request,503,Service Unavailable,Users 1-34,text,false,,7177,115,14,14,https://www.amazon.ca/,103,0,58
1647958814842,109,HTTP Request,503,Service Unavailable,Users 1-33,text,false,,7177,115,13,13,https://www.amazon.ca/,109,0,51
1647958814860,98,HTTP Request,503,Service Unavailable,Users 1-35,text,false,,7177,115,13,13,https://www.amazon.ca/,98,0,52
1647958814641,330,HTTP Request,200,OK,Users 1-13,text,true,,82124,115,13,13,https://www.amazon.ca/,123,0,54
1647958814872,104,HTTP Request,503,Service Unavailable,Users 1-36,text,false,,7177,115,12,12,https://www.amazon.ca/,104,0,51
1647958814880,99,HTTP Request,503,Service Unavailable,Users 1-37,text,false,,7177,115,12,12,https://www.amazon.ca/,99,0,52
1647958814888,97,HTTP Request,503,Service Unavailable,Users 1-38,text,false,,7177,115,11,11,https://www.amazon.ca/,97,0,55
1647958814897,100,HTTP Request,503,Service Unavailable,Users 1-39,text,false,,7177,115,11,11,https://www.amazon.ca/,100,0,48
1647958814923,88,HTTP Request,503,Service Unavailable,Users 1-41,text,false,,7177,115,12,12,https://www.amazon.ca/,88,0,45
1647958814908,111,HTTP Request,503,Service Unavailable,Users 1-40,text,false,,7177,115,12,12,https://www.amazon.ca/,111,0,63
1647958814927,102,HTTP Request,503,Service Unavailable,Users 1-42,text,false,,7177,115,12,12,https://www.amazon.ca/,102,0,50
1647958814946,99,HTTP Request,503,Service Unavailable,Users 1-43,text,false,,7177,115,12,12,https://www.amazon.ca/,99,0,56
1647958814950,95,HTTP Request,503,Service Unavailable,Users 1-44,text,false,,7177,115,12,12,https://www.amazon.ca/,95,0,52
1647958814709,343,HTTP Request,200,OK,Users 1-20,text,true,,82908,115,11,11,https://www.amazon.ca/,114,0,52
1647958814957,106,HTTP Request,503,Service Unavailable,Users 1-45,text,false,,7177,115,11,11,https://www.amazon.ca/,106,0,53
1647958814978,92,HTTP Request,503,Service Unavailable,Users 1-47,text,false,,7177,115,11,11,https://www.amazon.ca/,92,0,51
1647958814969,103,HTTP Request,503,Service Unavailable,Users 1-46,text,false,,7177,115,10,10,https://www.amazon.ca/,103,0,60
1647958814986,94,HTTP Request,503,Service Unavailable,Users 1-48,text,false,,7177,115,10,10,https://www.amazon.ca/,94,0,51
1647958814997,100,HTTP Request,503,Service Unavailable,Users 1-49,text,false,,7177,115,11,11,https://www.amazon.ca/,100,0,57
1647958815009,98,HTTP Request,503,Service Unavailable,Users 1-50,text,false,,7177,115,11,11,https://www.amazon.ca/,98,0,52
1647958815018,98,HTTP Request,503,Service Unavailable,Users 1-51,text,false,,7177,115,10,10,https://www.amazon.ca/,98,0,54
1647958815047,95,HTTP Request,503,Service Unavailable,Users 1-54,text,false,,7177,115,12,12,https://www.amazon.ca/,95,0,53
1647958815037,107,HTTP Request,503,Service Unavailable,Users 1-53,text,false,,7177,115,11,11,https://www.amazon.ca/,107,0,52
1647958815027,118,HTTP Request,503,Service Unavailable,Users 1-52,text,false,,7177,115,10,10,https://www.amazon.ca/,118,0,63
1647958815068,84,HTTP Request,503,Service Unavailable,Users 1-56,text,false,,7177,115,10,10,https://www.amazon.ca/,84,0,37
1647958815059,100,HTTP Request,503,Service Unavailable,Users 1-55,text,false,,7177,115,10,10,https://www.amazon.ca/,100,0,56
1647958815078,101,HTTP Request,503,Service Unavailable,Users 1-57,text,false,,7177,115,11,11,https://www.amazon.ca/,101,0,54
1647958815087,99,HTTP Request,503,Service Unavailable,Users 1-58,text,false,,7177,115,10,10,https://www.amazon.ca/,99,0,59
1647958815108,94,HTTP Request,503,Service Unavailable,Users 1-60,text,false,,7177,115,11,11,https://www.amazon.ca/,94,0,42
1647958815097,105,HTTP Request,503,Service Unavailable,Users 1-59,text,false,,7177,115,10,10,https://www.amazon.ca/,105,0,53
1647958815120,95,HTTP Request,503,Service Unavailable,Users 1-61,text,false,,7177,115,10,10,https://www.amazon.ca/,95,0,48
1647958815128,95,HTTP Request,503,Service Unavailable,Users 1-62,text,false,,7177,115,10,10,https://www.amazon.ca/,95,0,49
1647958815138,105,HTTP Request,503,Service Unavailable,Users 1-63,text,false,,7177,115,11,11,https://www.amazon.ca/,105,0,59
1647958815150,95,HTTP Request,503,Service Unavailable,Users 1-64,text,false,,7177,115,10,10,https://www.amazon.ca/,95,0,46
1647958815158,100,HTTP Request,503,Service Unavailable,Users 1-65,text,false,,7177,115,10,10,https://www.amazon.ca/,100,0,58
1647958815176,92,HTTP Request,503,Service Unavailable,Users 1-67,text,false,,7177,115,11,11,https://www.amazon.ca/,92,0,51
1647958815167,111,HTTP Request,503,Service Unavailable,Users 1-66,text,false,,7177,115,11,11,https://www.amazon.ca/,111,0,60
1647958815190,97,HTTP Request,503,Service Unavailable,Users 1-68,text,false,,7177,115,10,10,https://www.amazon.ca/,97,0,55
1647958815208,96,HTTP Request,503,Service Unavailable,Users 1-70,text,false,,7177,115,11,11,https://www.amazon.ca/,96,0,52
1647958815200,108,HTTP Request,503,Service Unavailable,Users 1-69,text,false,,7177,115,10,10,https://www.amazon.ca/,108,0,51
1647958815217,95,HTTP Request,503,Service Unavailable,Users 1-71,text,false,,7177,115,10,10,https://www.amazon.ca/,95,0,53
1647958815227,93,HTTP Request,503,Service Unavailable,Users 1-72,text,false,,7177,115,10,10,https://www.amazon.ca/,93,0,52
1647958815241,103,HTTP Request,503,Service Unavailable,Users 1-73,text,false,,7177,115,11,11,https://www.amazon.ca/,103,0,52
1647958815250,108,HTTP Request,503,Service Unavailable,Users 1-74,text,false,,7177,115,12,12,https://www.amazon.ca/,108,0,54
1647958815260,105,HTTP Request,503,Service Unavailable,Users 1-75,text,false,,7177,115,11,11,https://www.amazon.ca/,105,0,52
1647958815266,104,HTTP Request,503,Service Unavailable,Users 1-76,text,false,,7177,115,11,11,https://www.amazon.ca/,104,0,46
1647958815276,95,HTTP Request,503,Service Unavailable,Users 1-77,text,false,,7177,115,10,10,https://www.amazon.ca/,95,0,52
1647958815289,89,HTTP Request,503,Service Unavailable,Users 1-78,text,false,,7177,115,10,10,https://www.amazon.ca/,89,0,47
1647958815309,90,HTTP Request,503,Service Unavailable,Users 1-80,text,false,,7177,115,11,11,https://www.amazon.ca/,90,0,46
1647958815316,89,HTTP Request,503,Service Unavailable,Users 1-81,text,false,,7177,115,10,10,https://www.amazon.ca/,89,0,45
1647958815326,87,HTTP Request,503,Service Unavailable,Users 1-82,text,false,,7177,115,10,10,https://www.amazon.ca/,87,0,42
1647958815336,88,HTTP Request,503,Service Unavailable,Users 1-83,text,false,,7177,115,10,10,https://www.amazon.ca/,88,0,44
1647958815347,86,HTTP Request,503,Service Unavailable,Users 1-84,text,false,,7177,115,10,10,https://www.amazon.ca/,86,0,41
1647958815369,113,HTTP Request,503,Service Unavailable,Users 1-86,text,false,,7177,115,14,14,https://www.amazon.ca/,112,0,57
1647958815377,108,HTTP Request,503,Service Unavailable,Users 1-87,text,false,,7177,115,13,13,https://www.amazon.ca/,108,0,54
1647958815389,100,HTTP Request,503,Service Unavailable,Users 1-88,text,false,,7177,115,12,12,https://www.amazon.ca/,100,0,54
1647958815397,97,HTTP Request,503,Service Unavailable,Users 1-89,text,false,,7177,115,12,12,https://www.amazon.ca/,97,0,52
1647958815410,93,HTTP Request,503,Service Unavailable,Users 1-90,text,false,,7177,115,11,11,https://www.amazon.ca/,93,0,51
1647958815421,98,HTTP Request,503,Service Unavailable,Users 1-91,text,false,,7177,115,12,12,https://www.amazon.ca/,98,0,55
1647958815427,111,HTTP Request,503,Service Unavailable,Users 1-92,text,false,,7177,115,11,11,https://www.amazon.ca/,111,0,61
1647958815446,94,HTTP Request,503,Service Unavailable,Users 1-94,text,false,,7177,115,10,10,https://www.amazon.ca/,94,0,45
1647958815439,108,HTTP Request,503,Service Unavailable,Users 1-93,text,false,,7177,115,9,9,https://www.amazon.ca/,108,0,56
1647958815458,100,HTTP Request,503,Service Unavailable,Users 1-95,text,false,,7177,115,8,8,https://www.amazon.ca/,100,0,54
1647958815470,111,HTTP Request,503,Service Unavailable,Users 1-96,text,false,,7177,115,7,7,https://www.amazon.ca/,111,0,57
1647958815493,95,HTTP Request,503,Service Unavailable,Users 1-98,text,false,,7177,115,6,6,https://www.amazon.ca/,95,0,46
1647958815504,89,HTTP Request,503,Service Unavailable,Users 1-99,text,false,,7177,115,5,5,https://www.amazon.ca/,89,0,44
1647958815509,91,HTTP Request,503,Service Unavailable,Users 1-100,text,false,,7177,115,4,4,https://www.amazon.ca/,91,0,39
1647958815300,345,HTTP Request,200,OK,Users 1-79,text,true,,82489,115,3,3,https://www.amazon.ca/,131,0,46
1647958815358,332,HTTP Request,200,OK,Users 1-85,text,true,,82387,115,2,2,https://www.amazon.ca/,128,0,57
1647958815479,356,HTTP Request,200,OK,Users 1-97,text,true,,82676,115,1,1,https://www.amazon.ca/,130,0,60
