American Pie Presents Band Camp,2005,0
Archangel,2005,0
Bad News Bears,2005,0
Bubble,2005,0
Chaos,2005,0
Charlie and the Chocolate Factory,2005,0
Cursed,2005,0
Dalkomhan insaeng,2005,0
Domino,2005,0
Evil Aliens,2005,0
Family Guy Presents Stewie Griffin: The Untold Story,2005,0
Final Fantasy VII: Advent Children,2005,0
Four Brothers,2005,0
Go Figure,2005,0
Havoc,2005,0
Kids in America,2005,0
Left Behind: World at War,2005,0
Legion of the Dead,2005,0
Oliver Twist,2005,0
Paha maa,2005,0
Partner(s),2005,0
Reefer Madness: The Movie Musical,2005,0
Roll Bounce,2005,0
Rosario Tijeras,2005,0
Sidekick,2005,0
Star Wreck: In the Pirkinning,2005,0
Takeshis',2005,0
The Aristocrats,2005,0
The Best Man,2005,0
The Business,2005,0
The Crow: Wicked Prayer,2005,0
The Exorcism of Emily Rose,2005,0
The Game of Their Lives,2005,0
The Ice Harvest,2005,0
The Puffy Chair,2005,0
Transporter 2,2005,0
Where the Truth Lies,2005,0
Wish You Were Here,2005,0
No Direction Home: Bob Dylan,2005,4.3
All the Boys Love Mandy Lane,2006,0
All the King's Men,2006,0
American Pie Presents The Naked Mile,2006,0
Android Apocalypse,2006,0
Big Nothing,2006,0
Black Christmas,2006,0
Deja Vu,2006,0
Dorm Daze 2,2006,0
Eragon,2006,0
Fifty Pills,2006,0
Friends with Money,2006,0
Glory Road,2006,0
Griffin & Phoenix,2006,0
Half Light,2006,0
Heartbreak Hotel,2006,0
Heroes,2006,0
High School Musical,2006,0
Hollow Man II,2006,0
Huo Yuan Jia,2006,0
Incubus,2006,0
Longford,2006,0
Lucky Number Slevin,2006,0
Ring Around the Rosie,2006,0
Sairen,2006,0
Salvador (Puig Antich),2006,0
She's the Man,2006,0
SherryBaby,2006,0
Shut Up & Sing,2006,0
Street Thief,2006,0
The Butterfly Effect 2,2006,0
The Contract,2006,0
The Dead Girl,2006,0
The Hoax,2006,0
The Holiday,2006,0
The Rape of Europa,2006,0
Wristcutters: A Love Story,2006,0
Das Leben der Anderen,2006,4.4
99 francs,2007,0
Babylon 5: The Lost Tales,2007,0
Battlestar Galactica: Razor,2007,0
Believers,2007,0
Blackout,2007,0
Blue State,2007,0
Boot Camp,2007,0
Butterfly on a Wheel,2007,0
De fortabte sjæles ø,2007,0
Death at a Funeral,2007,0
Futurama: Bender's Big Score,2007,0
Hitman,2007,0
I Think I Love My Wife,2007,0
Joulutarina,2007,0
Kickin It Old Skool,2007,0
Knocked Up,2007,0
Kurôzu zero,2007,0
La antena,2007,0
Les deux mondes,2007,0
Magicians,2007,0
Nightmare City 2035,2007,0
Nina Frisk,2007,0
Noise,2007,0
Outlaw,2007,0
P.S. I Love You,2007,0
Permanent Vacation,2007,0
Planet Terror,2007,0
Shrek the Halls,2007,0
Stellet licht,2007,0
Sunshine,2007,0
Super Sweet 16: The Movie,2007,0
The Flock,2007,0
The Great Debaters,2007,0
The Man from Earth,2007,0
The Nanny Diaries,2007,0
The Seeker: The Dark Is Rising,2007,0
The Water Horse,2007,0
Transformers,2007,0
War,2007,0
Zeitgeist,2007,0
Byôsoku 5 senchimêtoru,2007,4.3
No End in Sight,2007,4.3
Pete Seeger: The Power of Song,2007,4.3
War Dance,2007,4.3
Another Cinderella Story,2008,0
April Fool's Day,2008,0
Bianca Beauchamp All Access 2: Rubberized,2008,0
Black Widow,2008,0
Breathing Room,2008,0
Camp Rock,2008,0
Center Stage: Turn It Up,2008,0
Dr. Jekyll and Mr. Hyde,2008,0
Fire & Ice,2008,0
First Sunday,2008,0
Futurama: Bender's Game,2008,0
Futurama: The Beast with a Billion Backs,2008,0
Get Smart's Bruce and Lloyd Out of Control,2008,0
Impulse,2008,0
Kidnap,2008,0
Killer Movie,2008,0
Knight Rider,2008,0
Käsky,2008,0
Loaded,2008,0
Lost Boys: The Tribe,2008,0
Major Movie Star,2008,0
Maradona by Kusturica,2008,0
Midnight Movie,2008,0
My Mom's New Boyfriend,2008,0
Niko - Lentäjän poika,2008,0
Outpost,2008,0
Picture This,2008,0
Pineapple Express,2008,0
Sauna,2008,0
Shark Swarm,2008,0
Stargate: Continuum,2008,0
Stargate: The Ark of Truth,2008,0
Starship Troopers 3: Marauder,2008,0
Sweet Nothing in My Ear,2008,0
The Accidental Husband,2008,0
The Andromeda Strain,2008,0
The Little Mermaid: Ariel's Beginning,2008,0
The Onion Movie,2008,0
Wallace and Gromit in 'A Matter of Loaf and Death',2008,0
War of the Worlds 2: The Next Wave,2008,0
Whore,2008,0
The Dark Knight,2008,4.5
Miss March,2009,2.7
The Last House on the Left,2009,2.7
Star Trek,2009,4.1
Megamind,2010,0
The Lady from Shanghai,2010,0
Red Sonja,2011,0
Execution Time: 122.610 msExecution Time: 24.549 ms